Club Name	Address	Email
Anchorage Running Club	Anchorage, AK - 99524-3362	melanie@ancrun.org
Running Club North	Fairbanks, AK - 99708-4237	rtstrandberg@alaska.edu
Kachemak Bay Running Club	Homer, AK - 99603-3705	northwiest@gmail.com
Juneau Trail & Road Runners	Juneau, AK - 99802-2203	juneautrailroadr@gmail.com
MatSu Running Club	Palmer, AK - 99645	knopp@mtaonline.net
Anniston Runners Club	Anniston, AL - 36202-2022	treasurer@annistonrunners.com
Walk Jog Run Club/Civil Rights Race Series	Anniston, AL - 36202-1481	raynard@wjrclub.com
Auburn-Opelika Running and Track Association	Auburn, AL - 36831-0975	aortatreasurer@gmail.com
Birmingham Track Club	Birmingham, AL - 35253-0363	treasurer@birminghamtrackclub.com
Bay Area Runners	Daphne, AL - 36526-2161	swilder@bcbe.org
River City Runners	Decatur, AL - 35602-2343	jklca5@att.net
Al Lawrence Running Club USA	Houston, AL - {}	allawrencerunningclub@juno.com
Fleet Feet HSV-MAD Running Club	Huntsville, AL - 35802	suzanne@fleetfeethuntsville.com
Huntsville Track Club	Huntsville, AL - 35802-1600	membership@huntsvilletrackclub.org
Dipsea Race Foundation	Mill Valley, AL - 94942	monikafarrar@icloud.com
Lower Alabama Fleet Feet Run Club	Orange Beach, AL - 36561-7584	laffrunclub@gmail.com
Tuscaloosa Track Club	Tuscaloosa, AL - 35402	tammydensonpls@bellsouth.net
Arkadelphia Running Club	Arkadelphia, AR - 71923-6636	hdnicole@yahoo.com
Cabot Country Cruisers	Austin, AR - 72007	cabotcountrycruisers@gmail.com
Conway Running Club	Conway, AR - 72034-6028	harris_mark_a@icloud.com
Run For Change	Phoenix, AZ - 85086	denise@run-for-change.com
Phoenix Run Club Inc	Tempe, AZ - 85283-1823	phxrunclub@gmail.com
Run Tucson	Tucson, AZ - 85718-5820	randy@runtucson.net
Southern Arizona Roadrunners	Tucson, AZ - 85728-4215	sar_office@yahoo.com
Six Rivers Running Club	Arcata, CA - 95518-0214	ygk1@humboldt.edu
Team IBProFUN	Bakersfield, CA - 93390	teamibprofun@gmail.com
Benicia Run Club	Benicia, CA - 94510	howdy@beniciarunclub.com
Santa Cruz Track Club	Capitola, CA - 95010-1803	chris.nestlerode@gmail.com
Big Sur Marathon Foundation Youth Club	Carmel, CA - 93922-2620	josh@bsim.org
Sierra Trailblazers Running Club	Cedar Ridge, CA - 95924-1811	kpietak@ocesd.net
